14;2020;1;1; E; 064.1; 072.0; 065.1; 062.2; 058.5; 055.3 
16;2020;1;1; E; 061.1; 067.3; 064.8; 059.2; 048.8; 043.3 
17;2020;1;1; E; 075.7; 072.9; 065.5; 055.1; 049.0; 045.5 
18;2020;1;1; E; 055.9; 063.9; 056.7; 049.1; 044.7; 043.2 
19;2020;1;1; E; 060.6; 066.6; 061.8; 056.3; 051.9; 048.9 
20;2020;1;1; E; 061.1; 070.1; 062.2; 056.4; 050.5; 046.3 
24;2020;1;1; E; 047.2; 054.0; 048.5; 045.4; 043.3; 042.2 
25;2020;1;1; E; 067.3; 069.5; 068.3; 066.6; 064.1; 061.4 
27;2020;1;1; E; 062.1; 071.9; 065.4; 056.7; 052.8; 050.2 
28;2020;1;1; E; 066.2; 074.3; 070.4; 062.4; 052.4; 046.3 
29;2020;1;1; E; 056.2; 065.0; 060.5; 049.8; 041.4; 036.8 
30;2020;1;1; E; 057.2; 064.1; 059.9; 055.9; 050.2; 047.5 
31;2020;1;1; E; 059.3; 070.6; 062.1; 052.6; 049.5; 047.8 
47;2020;1;1; E; 052.4; 061.0; 052.8; 046.6; 044.0; 042.5 
48;2020;1;1; E; 061.7; 066.0; 063.9; 061.4; 057.4; 054.3 
50;2020;1;1; E; 065.6; 071.7; 066.1; 062.6; 059.0; 056.4 
54;2020;1;1; E; 060.7; 066.8; 062.9; 058.7; 053.7; 049.3 
55;2020;1;1; E; 055.8; 064.3; 057.9; 051.8; 048.4; 046.5 
86;2020;1;1; E; 057.2; 065.1; 058.2; 049.8; 043.4; 039.4 
2;2020;1;1; N; 069.4; 078.5; 071.0; 067.3; 061.5; 057.6 
3;2020;1;1; N; 066.1; 074.7; 066.6; 060.3; 055.3; 052.6 
5;2020;1;1; N; 079.0; 082.8; 067.6; 056.0; 048.1; 043.6 
6;2020;1;1; N; 068.9; 076.5; 072.5; 065.8; 059.2; 053.2 
8;2020;1;1; N; 064.9; 072.2; 068.3; 063.1; 055.9; 049.0 
10;2020;1;1; N; 067.9; 073.6; 066.7; 057.6; 048.4; 043.8 
11;2020;1;1; N; 065.8; 075.1; 068.5; 061.4; 050.8; 042.6 
12;2020;1;1; N; 065.0; 076.9; 062.6; 057.1; 050.2; 046.3 
13;2020;1;1; N; 083.3; 096.1; 072.3; 057.4; 051.5; 050.2 
14;2020;1;1; N; 078.3; 081.3; 068.1; 061.2; 055.8; 052.4 
16;2020;1;1; N; 062.6; 073.3; 065.2; 057.8; 044.2; 040.0 
17;2020;1;1; N; 073.2; 084.9; 071.4; 052.7; 045.4; 043.6 
18;2020;1;1; N; 085.8; 098.6; 071.3; 051.5; 044.7; 043.3 
19;2020;1;1; N; 072.5; 078.7; 066.1; 055.7; 047.9; 044.8 
20;2020;1;1; N; 070.0; 083.2; 065.8; 057.2; 052.1; 049.4 
24;2020;1;1; N; 055.1; 065.9; 059.8; 046.7; 043.7; 042.4 
25;2020;1;1; N; 068.3; 074.9; 068.0; 063.3; 057.5; 050.2 
26;2020;1;1; N; 061.8; 070.8; 065.6; 057.4; 050.7; 046.7 
27;2020;1;1; N; 063.0; 072.2; 062.9; 050.9; 046.6; 044.4 
28;2020;1;1; N; 069.8; 075.5; 070.2; 059.2; 045.1; 041.7 
29;2020;1;1; N; 054.6; 065.1; 056.0; 043.8; 035.4; 033.2 
30;2020;1;1; N; 059.1; 069.8; 062.7; 049.5; 045.2; 042.2 
31;2020;1;1; N; 065.4; 076.1; 065.5; 052.3; 047.1; 042.6 
47;2020;1;1; N; 060.3; 072.0; 061.2; 047.7; 043.3; 041.9 
48;2020;1;1; N; 063.2; 073.9; 063.8; 059.6; 053.0; 049.2 
50;2020;1;1; N; 066.0; 075.5; 066.7; 061.6; 055.0; 050.6 
54;2020;1;1; N; 073.2; 087.1; 069.5; 056.3; 047.7; 042.5 
55;2020;1;1; N; 070.1; 071.4; 059.4; 050.4; 045.6; 042.7 
86;2020;1;1; N; 067.7; 080.6; 062.1; 046.7; 039.8; 038.0 
2;2020;1;2; T; 069.1; 075.7; 071.3; 068.2; 060.6; 055.1 
3;2020;1;2; T; 062.9; 071.3; 066.6; 059.5; 047.8; 045.1 
5;2020;1;2; T; 060.9; 067.2; 063.2; 058.5; 044.6; 040.0 
6;2020;1;2; T; 070.0; 076.9; 073.8; 067.3; 057.0; 047.5 
8;2020;1;2; T; 065.3; 072.3; 068.4; 063.7; 054.5; 045.0 
10;2020;1;2; T; 064.2; 072.8; 067.9; 060.1; 044.5; 040.9 
11;2020;1;2; T; 067.3; 074.9; 070.2; 065.2; 047.6; 040.5 
12;2020;1;2; T; 062.0; 070.3; 063.9; 059.7; 048.6; 039.5 
13;2020;1;2; T; 057.5; 067.3; 059.2; 053.8; 050.2; 045.6 
14;2020;1;2; T; 064.6; 072.8; 066.9; 063.1; 053.1; 046.9 
16;2020;1;2; T; 060.9; 067.6; 064.8; 058.9; 042.2; 037.5 
17;2020;1;2; T; 057.0; 065.7; 058.3; 052.3; 041.9; 039.1 
18;2020;1;2; T; 060.5; 065.3; 058.7; 051.2; 043.8; 042.8 
19;2020;1;2; T; 060.3; 067.1; 062.4; 055.8; 043.3; 037.4 
20;2020;1;2; T; 058.9; 067.2; 062.3; 056.3; 042.1; 039.1 
24;2020;1;2; T; 050.5; 057.4; 053.4; 048.7; 041.6; 040.2 
25;2020;1;2; T; 066.5; 070.3; 068.7; 066.8; 057.3; 046.9 
27;2020;1;2; T; 061.8; 072.4; 065.7; 054.4; 044.6; 039.6 
28;2020;1;2; T; 067.0; 075.3; 071.7; 062.1; 041.1; 038.1 
29;2020;1;2; T; 056.3; 065.5; 060.7; 050.1; 033.9; 032.1 
30;2020;1;2; T; 058.5; 067.3; 061.8; 056.3; 043.8; 041.2 
31;2020;1;2; T; 063.7; 073.2; 068.8; 056.5; 044.2; 039.6 
47;2020;1;2; T; 053.0; 064.3; 054.6; 047.8; 040.0; 037.7 
48;2020;1;2; T; 062.2; 067.7; 064.9; 061.4; 051.0; 041.5 
50;2020;1;2; T; 065.3; 071.3; 066.8; 063.3; 053.7; 047.3 
54;2020;1;2; T; 060.5; 067.0; 063.9; 059.4; 044.7; 040.5 
55;2020;1;2; T; 055.2; 064.0; 058.7; 051.5; 043.8; 040.6 
86;2020;1;2; T; 056.4; 066.7; 059.9; 050.6; 037.8; 036.2 
2;2020;1;2; D; 070.1; 075.8; 071.7; 069.2; 066.1; 063.1 
3;2020;1;2; D; 064.7; 071.8; 067.8; 062.6; 056.9; 049.6 
5;2020;1;2; D; 062.2; 068.3; 063.8; 060.2; 056.6; 053.2 
6;2020;1;2; D; 071.5; 077.8; 074.6; 069.3; 065.2; 061.6 
8;2020;1;2; D; 066.6; 073.0; 069.0; 064.8; 061.6; 057.5 
10;2020;1;2; D; 066.0; 073.6; 069.3; 062.6; 057.3; 053.3 
11;2020;1;2; D; 069.1; 076.7; 071.1; 067.6; 062.2; 056.8 
12;2020;1;2; D; 063.8; 073.4; 064.8; 061.5; 058.1; 055.5 
13;2020;1;2; D; 058.5; 069.3; 060.3; 055.6; 051.7; 047.3 
14;2020;1;2; D; 066.3; 074.1; 068.2; 064.7; 062.0; 059.5 
16;2020;1;2; D; 062.3; 067.8; 065.3; 061.2; 053.0; 046.8 
17;2020;1;2; D; 058.7; 066.3; 059.3; 054.5; 050.2; 047.4 
18;2020;1;2; D; 062.8; 066.4; 059.8; 053.7; 048.7; 046.0 
19;2020;1;2; D; 061.7; 068.0; 063.4; 057.9; 053.2; 050.7 
20;2020;1;2; D; 060.6; 068.3; 063.3; 058.3; 054.4; 050.8 
24;2020;1;2; D; 052.5; 058.0; 054.5; 051.0; 048.6; 046.3 
25;2020;1;2; D; 067.8; 070.7; 069.1; 067.6; 066.1; 064.9 
27;2020;1;2; D; 062.9; 072.8; 067.4; 056.2; 047.4; 043.6 
28;2020;1;2; D; 068.7; 075.8; 072.8; 066.1; 056.8; 050.7 
29;2020;1;2; D; 058.3; 066.3; 062.1; 054.0; 047.3; 043.2 
30;2020;1;2; D; 059.9; 066.6; 062.6; 058.4; 054.2; 051.3 
31;2020;1;2; D; 065.0; 073.7; 069.7; 059.6; 053.2; 049.5 
47;2020;1;2; D; 054.7; 065.4; 055.9; 049.9; 046.4; 044.6 
48;2020;1;2; D; 063.2; 068.0; 065.5; 062.8; 058.1; 054.1 
